territorio,bairro,Pop_2022,IDH
26,Aerolândia,11511,MUITO BAIXO
18,Aeroporto,8267,MUITO BAIXO
7,Aldeota,41410,MUITO ALTO
26,Alto da Balança,12060,MUITO BAIXO
6,Álvaro Weyne,23663,MUITO BAIXO
14,Amadeu Furtado,11027,BAIXO
33,Ancuri,10670,MUITO BAIXO
11,Antônio Bezerra,26576,MUITO BAIXO
34,Aracapé,18013,MUITO BAIXO
37,Autran Nunes,21774,MUITO BAIXO
3,Barra do Ceará,73819,MUITO BAIXO
31,Barroso,31649,MUITO BAIXO
36,Bela Vista,16920,MUITO BAIXO
15,Benfica,8575,MEDIO
20,Boa Vista/Castelão,12634,MUITO BAIXO
16,Bom Futuro,5943,BAIXO
39,Bom Jardim,42840,MUITO BAIXO
39,Bonsucesso,40968,MUITO BAIXO
9,Cais do Porto,21895,MUITO BAIXO
31,Cajazeiras,14466,MUITO BAIXO
28,Cambeba,7917,BAIXO
34,Canindezinho,40977,MUITO BAIXO
5,Carlito Pamplona,28096,MUITO BAIXO
1,Centro,27398,BAIXO
23,Cidade 2000,8395,BAIXO
27,Cidade dos Funcionários,17552,BAIXO
30,Coaçu,7055,MUITO BAIXO
23,Cocó,20482,ALTO
38,Conjunto Ceará I,19108,MUITO BAIXO
38,Conjunto Ceará II,23301,MUITO BAIXO
34,Conjunto Esperança,16326,MUITO BAIXO
32,Conjunto Palmeiras,38416,MUITO BAIXO
36,Couto Fernandes,5131,MUITO BAIXO
4,Cristo Redentor,26398,MUITO BAIXO
29,Curió,8239,MUITO BAIXO
16,Damas,10330,BAIXO
8,De Lourdes,3193,MEDIO
36,Demócrito Rocha,10846,MUITO BAIXO
20,Dias Macêdo,12128,MUITO BAIXO
10,Dionísio Torres,14359,MUITO ALTO
37,Dom Lustosa,12860,MUITO BAIXO
25,Edson Queiroz,23232,MUITO BAIXO
13,Ellery,7452,MUITO BAIXO
24,Engenheiro Luciano Cavalcante,15819,BAIXO
13,Farias Brito,11204,BAIXO
15,Fátima,22142,MEDIO
6,Floresta,27652,MUITO BAIXO
38,Genibaú,41384,MUITO BAIXO
39,Granja Lisboa,50830,MUITO BAIXO
39,Granja Portugal,40617,MUITO BAIXO
29,Guajeru,6632,MUITO BAIXO
24,Guararapes,5266,ALTO
37,Henrique Jorge,26856,MUITO BAIXO
17,Itaoca,11980,MUITO BAIXO
19,Itaperi,23002,MUITO BAIXO
5,Jacarecanga,14310,MUITO BAIXO
32,Jangurussu,52415,MUITO BAIXO
16,Jardim América,11432,MUITO BAIXO
35,Jardim Cearense,9714,MUITO BAIXO
27,Jardim das Oliveiras,29470,MUITO BAIXO
2,Jardim Guanabara,15206,MUITO BAIXO
6,Jardim Iracema,23084,MUITO BAIXO
37,João XXIII,17959,MUITO BAIXO
10,Joaquim Távora,21756,MEDIO
37,Jóquei Clube,18500,MUITO BAIXO
15,José Bonifácio,8141,MEDIO
29,José de Alencar,16012,MUITO BAIXO
29,Lagoa Redonda,28754,MUITO BAIXO
35,Manoel Sátiro,16421,MUITO BAIXO
23,Manuel Dias Branco,1649,MUITO BAIXO
35,Maraponga,11006,MUITO BAIXO
7,Meireles,34696,MUITO ALTO
28,Messejana,44308,MUITO BAIXO
35,Mondubim,58929,MUITO BAIXO
13,Monte Castelo,12686,MUITO BAIXO
16,Montese,24769,MUITO BAIXO
1,Moura Brasil,3681,MUITO BAIXO
9,Mucuripe,13657,ALTO
34,Novo Mondubim,20126,MUITO BAIXO
11,Olavo Oliveira,12032,MUITO BAIXO
12,Padre Andrade,12299,MUITO BAIXO
36,Panamericano,8429,MUITO BAIXO
8,Papicu,18982,BAIXO
17,Parangaba,29873,MUITO BAIXO
14,Parque Araxá,6132,BAIXO
20,Parque Dois Irmãos,26675,MUITO BAIXO
28,Parque Iracema,8263,BAIXO
14,Parquelândia,13323,MEDIO
27,Parque Manibura,7127,BAIXO
34,Parque Presidente Vargas,7233,MUITO BAIXO
33,Parque Santa Maria,9636,MUITO BAIXO
34,Parque Santa Rosa,12679,MUITO BAIXO
34,Parque São José,10564,MUITO BAIXO
18,Parreão,10358,BAIXO
20,Passaré,53417,MUITO BAIXO
30,Paupina,11059,MUITO BAIXO
33,Pedras,1980,MUITO BAIXO
36,Pici,42173,MUITO BAIXO
4,Pirambu,16968,MUITO BAIXO
21,Planalto Ayrton Senna,39253,MUITO BAIXO
1,Praia de Iracema,2891,ALTO
22,Praia do Futuro I,7761,MUITO BAIXO
22,Praia do Futuro II,11572,MUITO BAIXO
21,Prefeito José Walter,33527,MUITO BAIXO
12,Presidente Kennedy,22525,MUITO BAIXO
11,Quintino Cunha,36089,MUITO BAIXO
19,Dendê,5544,MUITO BAIXO
14,Rodolfo Teófilo,18171,MUITO BAIXO
25,Sabiaguaba,2550,MUITO BAIXO
24,Salinas,4143,MUITO BAIXO
30,São Bento,4480,MUITO BAIXO
13,São Gerardo,13409,BAIXO
10,Sapiranga/Coité,26017,MUITO BAIXO
25,Serrinha,31690,MUITO BAIXO
19,Siqueira,29257,MUITO BAIXO
39,Tauape,34126,MUITO BAIXO
8,Varjota,8005,ALTO
9,Vicente Pinzón,46945,MUITO BAIXO
17,Vila Peri,19669,MUITO BAIXO
18,Vila União,15066,MUITO BAIXO
2,Vila Velha,60880,MUITO BAIXO
